2026-05-12 20:03:29 | WARNING  | ayumi.blend_launcher | Could not fetch symbol list from OpenAPI: 'CTraderOpenApiClient' object has no attribute 'get_symbols' — using static mapping
2026-05-12 20:03:29 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for GBPUSD (id=2)...
2026-05-12 20:03:31 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for GBPUSD
2026-05-12 20:03:31 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for GBPUSD (id=2)...
2026-05-12 20:03:33 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for GBPUSD
2026-05-12 20:03:33 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for USDJPY (id=4)...
2026-05-12 20:03:35 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for USDJPY
2026-05-12 20:03:35 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for USDJPY (id=4)...
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for USDJPY
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | Registered 5 strategies: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion']
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | All strategy .name properties verified against maps
2026-05-12 20:03:37 | INFO     | ayumi.risk | Restored risk state from data/risk_state_blend.json
2026-05-12 20:03:37 | INFO     | ayumi.forward_test | BlendForwardTestRunner started — balance=$10000.00
2026-05-12 20:03:37 | INFO     | ayumi.forward_test | Preloaded 99 bars into key 'GBPUSD:60'
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | Preloaded 99 60min bars for GBPUSD into engine
2026-05-12 20:03:37 | INFO     | ayumi.forward_test | Preloaded 199 bars into key 'GBPUSD:15'
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | Preloaded 199 15min bars for GBPUSD into engine
2026-05-12 20:03:37 | INFO     | ayumi.forward_test | Preloaded 99 bars into key 'USDJPY:60'
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | Preloaded 99 60min bars for USDJPY into engine
2026-05-12 20:03:37 | INFO     | ayumi.forward_test | Preloaded 199 bars into key 'USDJPY:15'
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | Preloaded 199 15min bars for USDJPY into engine
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | === STARTING MULTI-STRATEGY FORWARD TEST ===
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | Pipeline: SRMR+ + Killzone + Momentum + SessionRangeMR → Correlation Gate → Blend Runner → Paper
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | Startup diagnostic: strategies=['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion']
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | Startup diagnostic: symbols=['GBPUSD', 'USDJPY']
2026-05-12 20:03:37 | INFO     | ayumi.blend_launcher | Startup diagnostic: bar_period=60m, min_confidence=0.50
